x,tractCode,deaths,pop,log_rate,log_rate.post.mean
25,25013801102,0,780,-Inf,-7.077363612076139
30,25013801102,0,505,-Inf,-6.728166079189903
35,25013801102,0,415,-Inf,-6.311621331691349
40,25013801102,3,330,-4.700480365792417,-5.86811120466718
45,25013801102,3,300,-4.605170185988091,-5.498475518727218
50,25013801102,3,300,-4.605170185988091,-5.155453367901553
55,25013801102,0,340,-Inf,-4.828831646561552
60,25013801102,3,255,-4.442651256490317,-4.553925709108684
65,25013801102,6,315,-3.960813169597578,-4.257135347967712
70,25013801102,3,220,-4.295015257684252,-3.8525780697452
75,25013801102,6,120,-2.995732273553991,-3.3704065572824122
80,25013801102,6,125,-3.036554268074246,-2.8013221158054233
85,25013801102,9,75,-2.120263536200091,-2.1510415149502706
0,25013801200,3,985,-5.794029352503979,-7.502144275500698
5,25013801200,0,905,-Inf,-8.079841936319221
10,25013801200,0,695,-Inf,-8.24525874409405
15,25013801200,0,700,-Inf,-7.920742952847226
20,25013801200,3,885,-5.68697535633982,-7.299717165039337
25,25013801200,6,1145,-5.251400446760285,-6.655770834983655
30,25013801200,3,1030,-5.838701792555572,-6.07065739652026
35,25013801200,3,920,-5.725761381374976,-5.653005167207384
40,25013801200,12,820,-4.2243976904702984,-5.284881771813853
45,25013801200,3,930,-5.736572297479192,-4.974392044403943
50,25013801200,12,1245,-4.641984159110808,-4.700434778427592
55,25013801200,15,1130,-4.321922710604176,-4.441167253179871
60,25013801200,18,915,-3.9285523073793565,-4.1678777276944405
65,25013801200,12,670,-4.022371062597012,-3.862194631853397
70,25013801200,9,330,-3.6018680771243066,-3.47191866532061
75,25013801200,3,195,-4.174387269895637,-3.027589815465602
80,25013801200,6,65,-2.382627800667582,-2.5334238262651527
85,25013801200,6,65,-2.382627800667582,-1.987412249458096
0,25013801300,3,1660,-6.31596059268248,-7.447606011220771
5,25013801300,0,2030,-Inf,-8.056521633993812
10,25013801300,0,2060,-Inf,-8.260203129710142
15,25013801300,0,2180,-Inf,-7.976794643879914
20,25013801300,3,1760,-6.374456799364088,-7.390652900668757
25,25013801300,3,1805,-6.399703582098872,-6.770458478911454
30,25013801300,3,1510,-6.22125264114086,-6.1872042377525975
35,25013801300,6,1520,-5.534706144612267,-5.695141555781632
40,25013801300,3,1410,-6.152732694704104,-5.243213346440961
45,25013801300,12,1295,-4.681359324345638,-4.91186167638991
50,25013801300,18,1295,-4.275894216237473,-4.641240387974395
55,25013801300,21,1330,-4.148411783492376,-4.40723562819476
60,25013801300,18,1405,-4.357420823871681,-4.1654860869351955
65,25013801300,30,1150,-3.6463198396951406,-3.8922674535580755
70,25013801300,18,795,-3.787970356758167,-3.5173195626143596
75,25013801300,24,510,-3.056356895370426,-3.086668779345819
80,25013801300,15,255,-2.833213344056216,-2.6094900293693444
85,25013801300,42,325,-2.0461555640463693,-2.080833817260479
0,25013801401,6,1405,-5.456033112539791,-7.335591612853637
5,25013801401,0,1640,-Inf,-7.830116621315457
10,25013801401,0,1925,-Inf,-7.965917041659353
15,25013801401,0,1705,-Inf,-7.685004508422998
20,25013801401,3,2685,-6.796823718274855,-7.151299853884808
25,25013801401,6,1740,-5.66988092298052,-6.584151853638013
30,25013801401,6,1585,-5.576580217083326,-6.070014387706926
35,25013801401,6,1295,-5.374506504905583,-5.756706149314828
40,25013801401,3,1075,-5.881463651893654,-5.482200584868916
45,25013801401,6,1020,-5.135798437050262,-5.182422535913873
50,25013801401,6,1055,-5.169536576682112,-4.882263715741698
55,25013801401,12,1090,-4.509026325435189,-4.566682512483199
60,25013801401,21,1110,-3.967592856582957,-4.248807516094597
65,25013801401,21,755,-3.5821953115256018,-3.9005243257523152
70,25013801401,15,460,-3.4231762883809305,-3.4843714407174984
75,25013801401,12,335,-3.329223882037066,-3.009123767298833
80,25013801401,15,230,-2.7300291078209855,-2.467851215753058
85,25013801401,33,235,-1.9630779526776787,-1.8650650889697467
0,25013801402,0,465,-Inf,-7.850427794621934
5,25013801402,0,540,-Inf,-8.38331892972596
10,25013801402,0,680,-Inf,-8.478486925550168
15,25013801402,0,715,-Inf,-8.062520728564072
20,25013801402,0,645,-Inf,-7.353225688359044
25,25013801402,0,720,-Inf,-6.645503123807343
30,25013801402,3,610,-5.314846668499247,-6.041630300322472
35,25013801402,3,610,-5.314846668499247,-5.750678135253339
40,25013801402,3,715,-5.473670254025898,-5.530315561208522
45,25013801402,3,620,-5.331107189371028,-5.259277375805495
50,25013801402,6,675,-4.722953221644475,-4.98420114936022
55,25013801402,12,720,-4.0943445622221,-4.68634488412225
60,25013801402,9,775,-4.455638452017127,-4.359427445218318
65,25013801402,9,760,-4.436093855944157,-3.9978468425627374
70,25013801402,12,585,-3.886705197443856,-3.5824002615853034
75,25013801402,24,425,-2.874035338576471,-3.1172691094718936
80,25013801402,18,255,-2.6508917872622613,-2.5991133408874942
85,25013801402,30,210,-1.9459101490553135,-2.030424610677697
0,25013801501,0,1400,-Inf,-7.631055438691539
5,25013801501,3,1505,-6.217935888514867,-8.060729417582293
10,25013801501,0,1895,-Inf,-8.143388740485442
15,25013801501,0,2045,-Inf,-7.832861236649199
20,25013801501,3,1975,-6.4897113886671125,-7.292355221731957
25,25013801501,3,1950,-6.476972362889683,-6.726893987013095
30,25013801501,3,1535,-6.237673371353188,-6.236553801478043
35,25013801501,3,1595,-6.276016726550835,-6.0436155651613666
40,25013801501,6,1585,-5.576580217083326,-5.895970630866942
45,25013801501,6,1855,-5.73388050581348,-5.623185223426008
50,25013801501,9,1725,-5.255757752129241,-5.3097893579991355
55,25013801501,12,1930,-5.080368632110931,-4.945732681745243
60,25013801501,12,1860,-5.043425116919247,-4.5767067522857285
65,25013801501,27,1425,-3.9660902266984217,-4.176972621810684
70,25013801501,27,950,-3.5606251185902575,-3.7344277516371465
75,25013801501,33,705,-3.0616902413457883,-3.232777707602547
80,25013801501,42,540,-2.5538995212749516,-2.655543236528732
85,25013801501,141,1140,-2.0900236510103727,-2.01286588847963
0,25013801502,3,950,-5.757849695926477,-7.183876130867859
5,25013801502,0,1200,-Inf,-7.683950917534694
10,25013801502,0,1555,-Inf,-7.868761639105535
15,25013801502,3,1285,-6.059901708661211,-7.684510787579474
20,25013801502,0,1080,-Inf,-7.262197306147846
25,25013801502,0,1180,-Inf,-6.781013839232209
30,25013801502,6,1240,-5.331107189371028,-6.3115147283003825
35,25013801502,3,1045,-5.853159875730801,-5.93018108371035
40,25013801502,3,1095,-5.8998973535824915,-5.565115460216213
45,25013801502,6,930,-5.043425116919247,-5.235445290580316
50,25013801502,6,985,-5.100882171944034,-4.925776309020424
55,25013801502,15,1000,-4.199705077879927,-4.6211009423545155
60,25013801502,21,1200,-4.045554398052668,-4.331850795402624
65,25013801502,9,840,-4.53617731450114,-4.0149526380720255
70,25013801502,15,565,-3.628775530044231,-3.61025505270258
75,25013801502,18,370,-3.0231312477421053,-3.140661923032151
80,25013801502,18,255,-2.6508917872622613,-2.6013307797848433
85,25013801502,30,240,-2.0794415416798357,-1.9954821695013418
0,25013801503,0,1185,-Inf,-7.890423931537844
5,25013801503,0,1350,-Inf,-8.331744142268166
10,25013801503,0,1385,-Inf,-8.36996431240552
15,25013801503,0,1405,-Inf,-7.95047440583062
20,25013801503,3,1080,-5.886104031450156,-7.276655477992522
25,25013801503,0,1710,-Inf,-6.606345782518456
30,25013801503,6,1480,-5.508037897530106,-6.055063619649931
35,25013801503,3,1645,-6.306883374531362,-5.910592583906066
40,25013801503,6,1260,-5.3471075307174685,-5.836934375635458
45,25013801503,3,1035,-5.84354441703136,-5.592789255070698
50,25013801503,9,1490,-5.109306821603285,-5.294692257443598
55,25013801503,12,1555,-4.8643241748253345,-4.931136758352452
60,25013801503,12,1505,-4.831641527394976,-4.541857649844953
65,25013801503,15,940,-4.137829674161839,-4.118604224770706
70,25013801503,27,855,-3.455264602932431,-3.66963309590972
75,25013801503,21,640,-3.4169457386302944,-3.168602485600145
80,25013801503,21,250,-2.4769384801388235,-2.5992055829106686
85,25013801503,51,355,-1.94029215675109,-1.9715549682616695
0,25013801601,0,825,-Inf,-7.769449261287292
5,25013801601,0,1070,-Inf,-8.219943119641094
10,25013801601,0,935,-Inf,-8.292899479402385
15,25013801601,0,3900,-Inf,-7.935221396975301
20,25013801601,0,3735,-Inf,-7.330199368541013
25,25013801601,3,1145,-5.9445476273202305,-6.7123649423179534
30,25013801601,0,1165,-Inf,-6.186289757854968
35,25013801601,3,1170,-5.966146739123692,-5.9894539275505085
40,25013801601,3,1020,-5.8289456176102075,-5.849057617022474
45,25013801601,6,1160,-5.264415814872355,-5.584209027358193
50,25013801601,9,1175,-4.87179884924204,-5.28146913526356
55,25013801601,9,1275,-4.953476880256307,-4.9289075887508504
60,25013801601,9,1305,-4.976733742420574,-4.561707904311439
65,25013801601,21,1440,-4.227875954846623,-4.162250345376555
70,25013801601,24,940,-3.667826044916104,-3.7226425887023207
75,25013801601,27,715,-3.2764456766896783,-3.2274251864312657
80,25013801601,45,640,-2.6548056865833978,-2.6624198530112246
85,25013801601,162,1180,-1.9856733822273263,-2.0364475183818933
0,25013801602,3,1360,-6.116627690061988,-7.141796712656407
5,25013801602,0,1580,-Inf,-7.507530531526841
10,25013801602,0,1535,-Inf,-7.653074924900806
15,25013801602,0,1965,-Inf,-7.557395499264453
20,25013801602,3,2930,-6.884145413343004,-7.297482264396647
25,25013801602,0,1590,-Inf,-6.95694153841824
30,25013801602,3,1710,-6.345636360828596,-6.611079895114652
35,25013801602,0,1500,-Inf,-6.387156814190865
40,25013801602,3,1365,-6.12029741895095,-6.157940271880163
45,25013801602,6,1380,-5.438079308923196,-5.84025516614605
50,25013801602,3,1410,-6.152732694704104,-5.486213831658289
55,25013801602,12,1550,-4.861103560125292,-5.09188277971506
60,25013801602,15,1440,-4.564348191467836,-4.735291652438098
65,25013801602,15,1195,-4.377851263263401,-4.3547863875671196
70,25013801602,18,920,-3.9340019121469214,-3.9100649342595535
75,25013801602,21,740,-3.562127748474792,-3.3911859455212063
80,25013801602,27,435,-2.779509165084355,-2.7755490115040673
85,25013801602,69,515,-2.0100603960664767,-2.0767494965719275
0,25013801603,0,1015,-Inf,-7.602540775493361
5,25013801603,3,985,-5.794029352503979,-7.949625179179377
10,25013801603,0,1015,-Inf,-7.995313403686603
15,25013801603,0,1130,-Inf,-7.712074028746076
20,25013801603,0,1105,-Inf,-7.239430243235764
25,25013801603,3,1310,-6.079170127527087,-6.735583295161399
30,25013801603,9,1320,-4.988162438244197,-6.307782910710957
35,25013801603,3,1215,-6.003887067106539,-6.228275114626877
40,25013801603,3,1235,-6.020213960393968,-6.1871479433089975
45,25013801603,6,1440,-5.480638923341991,-5.9296903762971995
50,25013801603,3,1410,-6.152732694704104,-5.592086825942414
55,25013801603,15,1460,-4.578141513600172,-5.170961931051415
60,25013801603,6,1595,-5.58286954599089,-4.753539010109421
65,25013801603,21,1445,-4.231342162823109,-4.306914252692779
70,25013801603,21,1320,-4.140864577856994,-3.8371096633296222
75,25013801603,27,805,-3.3950054114142345,-3.304180101883037
80,25013801603,21,385,-2.908720896564361,-2.680362540456186
85,25013801603,63,420,-1.8971199848858813,-1.9824101599384087
0,25013801604,0,770,-Inf,-7.34322586425722
5,25013801604,0,675,-Inf,-7.55994516354102
10,25013801604,0,970,-Inf,-7.564175348411556
15,25013801604,0,975,-Inf,-7.359786087890288
20,25013801604,0,905,-Inf,-7.036377942507706
25,25013801604,0,1085,-Inf,-6.662516186060727
30,25013801604,3,1230,-6.016157159698354,-6.3511734998537985
35,25013801604,0,1080,-Inf,-6.428771801527724
40,25013801604,3,1090,-5.895320686555079,-6.525485253032683
45,25013801604,3,1220,-6.007993849059193,-6.281738567462653
50,25013801604,3,1345,-6.10553700336783,-5.901878674647658
55,25013801604,6,1440,-5.480638923341991,-5.393241770293005
60,25013801604,12,1440,-4.787491742782046,-4.90864186135287
65,25013801604,15,1540,-4.631487494305465,-4.398257219824586
70,25013801604,21,1415,-4.210362372353915,-3.888919572219099
75,25013801604,33,750,-3.123565645063876,-3.307906690336466
80,25013801604,21,340,-2.784423179886784,-2.6101273292953375
85,25013801604,69,345,-1.6094379124341003,-1.8224634596543978
0,25013801605,0,1365,-Inf,-7.776369185762073
5,25013801605,0,1705,-Inf,-8.167778278073087
10,25013801605,0,1825,-Inf,-8.191670350582582
15,25013801605,0,1430,-Inf,-7.805638166008683
20,25013801605,3,1280,-6.056003068245553,-7.192803942992029
25,25013801605,6,1715,-5.6554088903719855,-6.575250847872012
30,25013801605,6,1555,-5.55747135538528,-6.070176483454359
35,25013801605,3,1415,-6.156272521409228,-5.983849507079557
40,25013801605,0,1215,-Inf,-5.96019601445557
45,25013801605,3,1200,-5.991464547107982,-5.7203421451875975
50,25013801605,9,1305,-4.976733742420574,-5.4056973593783075
55,25013801605,18,1465,-4.399238763555003,-5.008872039739511
60,25013801605,15,1455,-4.574710978503383,-4.594716009639321
65,25013801605,12,1185,-4.592591403781231,-4.147988904519738
70,25013801605,27,990,-3.6018680771243066,-3.684201732829775
75,25013801605,24,740,-3.42859635585027,-3.164880040618002
80,25013801605,33,550,-2.8134107167600364,-2.567126925144965
85,25013801605,75,435,-1.7578579175523736,-1.9049047412750166
0,25013801700,6,1760,-5.681309618804143,-7.574424808539509
5,25013801700,0,2040,-Inf,-8.143278333711926
10,25013801700,0,2240,-Inf,-8.311634134990488
15,25013801700,0,7500,-Inf,-8.004643679776686
20,25013801700,3,8430,-7.940939762327791,-7.408076185266052
25,25013801700,6,2590,-6.067653685465529,-6.784087018999685
30,25013801700,3,1940,-6.471830963389264,-6.212911948422572
35,25013801700,9,1665,-5.220355825078324,-5.798450924504556
40,25013801700,6,1725,-5.661222860237405,-5.429368572464176
45,25013801700,12,1295,-4.681359324345638,-5.116241058151575
50,25013801700,9,1670,-5.223354328074581,-4.8380403255033
55,25013801700,15,1445,-4.567814399444322,-4.573709996150202
60,25013801700,24,1475,-4.1183594384259745,-4.298999684482468
65,25013801700,24,1140,-3.8607297110405954,-3.9924813516273567
70,25013801700,12,865,-4.277822857143879,-3.600713076625295
75,25013801700,30,570,-2.9444389791664407,-3.1535613731860552
80,25013801700,33,385,-2.456735772821304,-2.654230755900188
85,25013801700,54,490,-2.205421344540398,-2.101295285047065
0,25013801800,3,1660,-6.31596059268248,-7.603542870054494
5,25013801800,0,1875,-Inf,-8.229925116018169
10,25013801800,0,2200,-Inf,-8.430068640389589
15,25013801800,0,1875,-Inf,-8.11684657535535
20,25013801800,3,2635,-6.778026172307353,-7.488049399072001
25,25013801800,3,1625,-6.294650806095728,-6.832829970753791
30,25013801800,3,1525,-6.231137400373402,-6.224427433874055
35,25013801800,6,1235,-5.3270667798340225,-5.72311997254528
40,25013801800,6,1225,-5.3189366537507725,-5.269022969062573
45,25013801800,6,1045,-5.160012695170856,-4.94147484103402
50,25013801800,12,1130,-4.545066261918386,-4.67869164279638
55,25013801800,15,940,-4.137829674161839,-4.455030050909874
60,25013801800,18,930,-3.9448128282511368,-4.21732242372317
