tractCode,e0
25013800101,77.06854602917063
25013800102,77.78150475420493
25013800201,77.98073626965439
25013800202,75.63789862173444
25013800300,76.84962402740828
25013800400,74.41962510895776
25013800500,78.1765176425151
25013800600,77.34233034766075
25013800700,77.32214189525098
25013800800,77.30513443864149
25013800900,77.19417912247044
25013801101,79.2287855233723
25013801102,79.23024069362282
25013801200,74.69420073879587
25013801300,75.05604386137755
25013801401,75.00384603014115
25013801402,76.64436261893971
25013801501,78.54563809012166
25013801502,76.43878670221832
25013801503,77.9021701755529
25013801601,78.5223679399019
25013801602,80.18926708457418
25013801603,79.68846136464495
25013801604,79.68969640049579
25013801605,78.01455176842884
25013801700,76.54011550605712
25013801800,76.01865212259128
25013801901,75.5315541238673
25013801902,77.39106859853807
25013802000,75.33873181106725
25013802100,80.94642703551213
25013802200,76.53874465400075
25013802300,76.95985348432917
25013802400,78.54716055372407
25013802500,81.09813607878094
25013802601,78.57810645141343
25013802602,80.17583108357599
25013810100,78.81682151523617
25013810200,78.85678341645476
25013810300,79.3879754945569
25013810403,78.90068859732288
25013810404,81.50888285298682
25013810412,81.70158508002805
25013810414,80.95955977592263
25013810601,77.70475587890053
25013810602,78.98648308251586
25013810700,76.61243431587643
25013810800,78.27167782266025
25013810901,76.12689467715303
25013810902,78.29380847029012
25013811000,77.01281405752434
25013811101,74.78440129213817
25013811102,79.57305118102391
25013811200,80.05132759793943
25013811301,77.58705474531743
25013811302,79.77771738297255
25013811400,77.41914767760977
25013811500,74.14701398575895
25013811600,77.54175050405856
25013811700,77.72715569187451
25013811800,75.97024603281953
25013811900,80.72054265580128
25013812001,78.60040135584725
25013812002,75.22876763086919
25013812101,78.09104511098806
25013812103,77.19426435588971
25013812104,77.6515766198379
25013812201,79.51414942224181
25013812202,74.47966532106467
25013812300,75.28897475276877
25013812401,81.40908047146127
25013812403,78.93753401163818
25013812404,80.45227854460117
25013812500,78.60570573430552
25013812600,81.75191707977869
25013812701,76.87960017790267
25013812702,73.76590447577459
25013812800,80.55396493236753
25013812901,79.37666923651952
25013812902,80.74076796289637
25013813000,81.41747008669824
25013813101,78.42469426654694
25013813102,81.84074498996998
25013813204,81.92610717278693
25013813205,79.4297673619051
25013813206,79.51426002586618
25013813207,78.56271581274002
25013813208,81.54930896797187
25013813209,77.28071306343737
25013813301,84.5021195024647
25013813303,81.47453003966572
25013813304,83.89910940475238
25013813401,79.01782940782262
25013813403,80.97688154849436
25013813404,81.37654405930586
25013813500,81.01753107369403
25013813601,80.79902111436563
25013813602,83.30293755597692
25013813701,82.12746957739472
25013813702,82.06653489274116
25013813801,80.4963457955284
25013813802,81.44949590097846
25015820101,78.71396505196998
25015820102,76.31674074297742
25015820300,82.47016890119369
25015820500,80.60073771381124
25015820700,86.01437742992938
25015820801,84.65616256501919
25015820900,81.28927482772482
25015821000,79.95507673112489
25015821100,81.04103260976093
25015821200,78.21000864845493
25015821300,82.78174337925333
25015821400,79.52109436384069
25015821500,81.97617237537081
25015821601,83.59854489027337
25015821602,78.52824007477952
25015821700,78.99042143749803
25015821901,86.37603482982023
25015821903,79.10557596115927
25015821904,80.36898316685208
25015822200,82.31483996279304
25015822300,79.05825833809335
25015822401,81.03246541690697
25015822402,79.79197570223933
25015822500,81.9438672072162
25015822601,78.64736850461308
25015822603,84.76698907525994
25015822700,83.23127774401644
